layer_c_id,layer_name,duration_ms
0,fc_Add,0.011423529125750065
1,fc_4_MatMul,0.009076470509171486
2,fc_6_MatMul,0.006411764770746231
3,fc_13_MatMul,0.005317647010087967
4,fc_1_Add,0.005741176661103964
5,addition,0.005064705852419138
6,tanh,0.010811764746904373
7,fc_8_MatMul,0.0052999998442828655
8,addition_2,0.004888235125690699
9,fc_11_MatMul,0.004064705688506365
10,fc_2_Add,0.005305882543325424
11,fc_5_MatMul,0.0038823529612272978
12,fc_7_MatMul,0.004711764864623547
13,fc_14_MatMul,0.0038823529612272978
14,fc_3_Add,0.005305882543325424
15,addition_1,0.005005882121622562
16,tanh_1,0.00974705908447504
17,fc_9_MatMul,0.0038823529612272978
18,addition_3,0.0047647058963775635
19,fc_12_MatMul,0.0038352941628545523
20,addition_4,0.00482941186055541
21,fc_10_MatMul,0.00363529403693974
