layer_c_id,layer_name,duration_ms
0,fc_Add,0.004610000178217888
1,fc_4_MatMul,0.004236666485667229
2,fc_6_MatMul,0.00283333333209157
3,fc_13_MatMul,0.0026266665663570166
4,fc_1_Add,0.0027600000612437725
5,addition,0.0025333333760499954
6,tanh,0.006066666450351477
7,fc_8_MatMul,0.002716666553169489
8,addition_2,0.0022299999836832285
9,fc_11_MatMul,0.0022299999836832285
10,fc_2_Add,0.0025433332193642855
11,fc_5_MatMul,0.002113333437591791
12,fc_7_MatMul,0.0022299999836832285
13,fc_14_MatMul,0.002090000081807375
14,fc_3_Add,0.002529999939724803
15,addition_1,0.0020833334419876337
16,tanh_1,0.005133333150297403
17,fc_9_MatMul,0.002216666704043746
18,addition_3,0.0021299999207258224
19,fc_12_MatMul,0.0021433334331959486
20,addition_4,0.0020699999295175076
21,fc_10_MatMul,0.0021266667172312737
